appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1371980,1371980_32068,1371980_No Rest for the Wicked.txt,all,1371980_32068,,,,
1374840,1374840_2513,1374840_Dark Deity.txt,all,1374840_2513,,,,
1378990,1378990_2753,1378990_Crash Bandicoot 4 - It’s About Time.txt,all,1378990_2753,,,,
1382070,1382070_3910,1382070_Viewfinder.txt,all,1382070_3910,,,,
1382330,1382330_15081,1382330_Persona 5 Strikers.txt,all,1382330_15081,,,,
1386900,1386900_1220,1386900_Observer - System Redux.txt,all,1386900_1220,,,,
1388770,1388770_18764,1388770_Cruelty Squad.txt,all,1388770_18764,,,,
1388870,1388870_1587,1388870_Arcade Paradise.txt,all,1388870_1587,,,,
1388880,1388880_25125,1388880_Doki Doki Literature Club Plus!.txt,all,1388880_25125,,,,
1390350,1390350_13190,1390350_Webbed.txt,all,1390350_13190,,,,
1390410,1390410_2116,1390410_Midnight Fight Express.txt,all,1390410_2116,,,,
1392820,1392820_26862,1392820_Milk inside a bag of milk inside a bag of milk.txt,all,1392820_26862,,,,
1401590,1401590_19148,1401590_Disney Dreamlight Valley.txt,all,1401590_19148,,,,
1402110,1402110_2509,1402110_Eternights.txt,all,1402110_2509,,,,
1402120,1402120_2257,1402120_9 Years of Shadows.txt,all,1402120_2257,,,,
1402320,1402320_2397,1402320_Medal of Honor - Above and Beyond.txt,all,1402320_2397,,,,
1404210,1404210_64846,1404210_Red Dead Online.txt,all,1404210_64846,,,,
1407200,1407200_80678,1407200_World of Tanks.txt,all,1407200_80678,,,,
1410640,1410640_3960,1410640_Syberia - The World Before.txt,all,1410640_3960,,,,
1410710,1410710_5502,1410710_Democracy 4.txt,all,1410710_5502,,,,
1413870,1413870_1260,1413870_Shadow Man Remastered.txt,all,1413870_1260,,,,
1414850,1414850_5486,1414850_Nickelodeon All-Star Brawl.txt,all,1414850_5486,,,,
